date,pred_high,pred_low,actual_high,actual_low,error_high,error_low,avg_error,confidence,has_earnings,has_macro
2023-01-04,3.5284886,0.84990954,178.99,110.15,54.088630067752085,3.8527274376156013,28.970678752683842,0.12249422,False,False
2023-01-05,3.5284886,0.84990954,178.99,110.15,58.9681069155038,0.8499095439910889,29.909008229747446,0.12249422,False,False
2023-01-06,3.5284882,0.84990937,178.99,113.09,54.74368444670943,0.8499093651771545,27.796796905943292,0.12249425,False,False
2023-01-10,3.5284867,0.84990907,193.06,118.59,59.2677018201133,0.8499090671539307,30.058805443633617,0.12249429,False,False
2023-01-11,3.5284872,0.8499092,193.06,122.03,53.32884136128047,1.7030128587714077,27.515927110025938,0.12249429,False,False
2023-01-12,3.5284872,0.8499092,193.06,122.03,53.46915449572257,1.614323271099333,27.54173888341095,0.12249429,False,False
2023-01-13,3.5284882,0.8499095,194.8,122.03,55.98674276122647,0.923607486351727,28.4551751237891,0.12249425,False,False
2023-01-18,3.5284877,0.8499093,207.91,127.9,59.02819722774346,0.8499093055725098,29.939053266657986,0.122494265,True,False
2023-01-19,3.5284877,0.8499093,207.91,127.93,58.99007715780441,0.8499093055725098,29.91999323168846,0.122494265,True,False
2023-01-20,3.528489,0.84990966,207.91,133.55,52.15103166588053,0.8499096632003784,26.500470664540455,0.12249419,True,False
2023-01-24,3.52849,0.8499099,215.54,142.5,47.72765028434887,0.8499099016189575,24.288780092983913,0.12249416,True,True
2023-01-25,3.528491,0.84991026,215.54,151.97,38.302133445152364,0.8499102592468262,19.576021852199595,0.12249412,True,True
2023-01-26,3.5284915,0.84991026,215.54,159.31,31.76747234703778,0.8499102592468262,16.308691303142304,0.12249411,True,True
2023-01-27,3.5284915,0.8499103,215.54,166.53,17.55459372289167,7.2989862134641275,12.4267899681779,0.12249411,True,True
2023-01-31,3.5284915,0.84991026,215.54,172.27,21.58905653802143,0.8499102592468262,11.219483398634129,0.12249411,True,True
2023-02-01,3.5284915,0.8499103,215.54,184.29,13.428478495906106,0.849910318851471,7.139194407378788,0.12249411,True,True
2023-02-02,3.5284915,0.8499103,215.54,184.73,13.149903999089695,0.849910318851471,6.999907158970583,0.12249411,False,True
2023-02-03,3.5284915,0.8499104,215.54,192.77,8.115556985297298,1.0001227476677557,4.557839866482527,0.12249411,False,True
2023-02-07,3.5284915,0.8499104,215.54,190.16,6.328796984101899,3.928401713828181,5.12859934896504,0.12249411,False,True
2023-02-08,3.5284915,0.8499103,215.54,190.16,3.0847547808451568,6.790455404670332,4.937605092757744,0.12249411,False,False
2023-02-09,3.5284915,0.8499104,215.54,190.16,0.1413656526884508,9.387258269370452,4.764311961029452,0.12249411,False,False
2023-02-10,3.5284915,0.8499103,215.54,190.16,6.97650722123756,3.356959793345198,5.1667335072913785,0.12249411,False,False
2023-02-14,3.5284915,0.8499103,215.54,170.62,1.3332423386309973,19.952845219994135,10.643043779312567,0.12249411,False,False
2023-02-15,3.5284915,0.8499104,215.54,170.62,3.528491497039795,21.69058960273003,12.609540549884912,0.12249411,False,False
